state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
PA,2020-12-21,"23,998",75.16,"31,928","6,750",21.38,"3,190",81.23,"3,927"
SC,2020-12-21,"7,642",79.6,"9,600","1,567",16.32,998,79.21,"1,260"
TN,2020-12-21,"11,854",71.87,"16,495","3,018",18.87,"1,843",86.73,"2,125"
UT,2020-12-21,"2,801",53.66,"5,219",566,10.85,411,64.83,634
VA,2020-12-21,"11,390",69.3,"16,436","2,401",14.61,"1,415",71.11,"1,990"
MO,2020-12-21,"10,870",71.83,"15,132","2,685",17.74,"1,507",82.98,"1,816"
NC,2020-12-21,"16,299",76.04,"21,436","3,055",14.33,"2,056",82.64,"2,488"
NE,2020-12-21,"3,105",65.11,"4,769",604,12.88,371,64.75,573
NH,2020-12-21,"1,784",64.4,"2,770",310,11.19,160,56.74,282
NM,2020-12-21,"2,679",70.24,"3,814",731,19.17,407,94.21,432
OH,2020-12-21,"19,420",67.79,"28,647","5,060",17.7,"3,044",74.09,"4,109"
OR,2020-12-21,"4,590",70.29,"6,530",626,9.59,514,66.84,769
RI,2020-12-21,"2,077",90.19,"2,303",483,20.97,153,92.73,165
SD,2020-12-21,"1,316",56.24,"2,340",323,13.8,156,63.67,245
TX,2020-12-21,"46,536",73.73,"63,116","10,688",16.98,"6,450",87.98,"7,332"
VT,2020-12-21,663,56.43,"1,175",31,2.64,66,63.46,104
WA,2020-12-21,"8,197",65.95,"12,430","1,154",9.28,934,67.04,"1,393"
WI,2020-12-21,"7,552",60.55,"12,473","1,434",11.76,941,58.83,"1,599"
WV,2020-12-21,"3,625",72.21,"5,020",764,15.22,478,78.62,608
WY,2020-12-21,577,40.58,"1,422",160,11.34,56,44.09,127
CW,2020-12-22,"520,748",73.47,"708,754","123,328",17.48,"67,465",78.22,"86,250"
CT,2020-12-22,"6,009",77.1,"7,794","1,327",17.03,660,61.57,"1,072"
DC,2020-12-22,"2,382",82.31,"2,894",327,11.3,281,82.65,340
ID,2020-12-22,"1,817",58.44,"3,109",402,12.93,219,73.99,296
IN,2020-12-22,"11,032",67.3,"16,393","3,093",18.87,"1,669",78.76,"2,119"
KS,2020-12-22,"4,621",59.09,"7,820","1,074",13.74,639,79.78,801
LA,2020-12-22,"8,892",70.05,"12,694","1,483",11.9,"1,380",76.79,"1,797"
MD,2020-12-22,"7,926",82.29,"9,632","2,073",21.52,"1,044",80.74,"1,293"
AK,2020-12-22,904,62.47,"1,447",99,6.84,94,72.31,130
AL,2020-12-22,"10,718",76.11,"14,082","2,600",18.46,"1,307",90.58,"1,443"
AR,2020-12-22,"5,496",71.94,"7,640","1,146",15.0,787,76.19,"1,033"
AZ,2020-12-22,"11,073",78.51,"14,105","4,215",29.93,"1,634",75.89,"2,153"
CA,2020-12-22,"50,035",79.01,"63,331","19,124",30.2,"6,856",85.7,"8,000"
CO,2020-12-22,"6,626",65.17,"10,168","1,396",13.73,942,62.72,"1,502"
DE,2020-12-22,"1,757",68.87,"2,551",475,18.62,161,83.85,192
FL,2020-12-22,"41,104",79.17,"51,920","6,174",12.11,"5,168",82.11,"6,294"
GA,2020-12-22,"15,834",83.17,"19,038","4,112",21.6,"2,378",88.93,"2,674"
HI,2020-12-22,"1,638",66.02,"2,481",83,3.35,137,61.99,221
IA,2020-12-22,"4,770",61.52,"7,754",646,8.44,473,68.6,689
IL,2020-12-22,"20,163",69.26,"29,113","4,620",15.87,"2,426",68.65,"3,534"
KY,2020-12-22,"7,009",58.16,"12,052","1,667",13.83,"1,155",70.17,"1,646"
MA,2020-12-22,"11,629",77.87,"14,933","1,881",12.6,"1,092",75.89,"1,439"
ME,2020-12-22,"1,868",66.05,"2,828",241,8.52,214,66.25,323
MI,2020-12-22,"15,241",74.18,"20,545","3,118",15.18,"2,095",78.82,"2,658"
MN,2020-12-22,"6,962",72.0,"9,670","1,244",12.86,720,75.98,947
MS,2020-12-22,"5,229",65.66,"7,964","1,367",17.16,721,83.84,860
MT,2020-12-22,"1,772",62.9,"2,817",262,9.3,148,66.07,224
ND,2020-12-22,"1,408",67.59,"2,083",275,13.2,133,60.73,219
NJ,2020-12-22,"14,909",75.57,"19,729","4,002",20.28,"1,703",68.72,"2,478"
NV,2020-12-22,"6,039",81.26,"7,432","1,992",27.39,839,90.22,930
NY,2020-12-22,"34,872",68.75,"50,721","7,774",15.33,"3,629",62.79,"5,780"
OK,2020-12-22,"6,915",71.96,"9,610","1,846",19.53,947,88.18,"1,074"
PA,2020-12-22,"24,882",77.48,"32,114","6,918",21.78,"3,308",83.07,"3,983"
SC,2020-12-22,"7,908",82.2,"9,620","1,623",16.87,"1,048",82.39,"1,272"
TN,2020-12-22,"12,162",73.71,"16,499","3,048",19.05,"1,862",87.29,"2,133"
UT,2020-12-22,"3,004",57.56,"5,219",597,11.44,423,66.82,633
VA,2020-12-22,"11,869",72.3,"16,416","2,420",14.74,"1,454",73.21,"1,986"
MO,2020-12-22,"11,299",74.14,"15,241","2,782",18.25,"1,552",85.09,"1,824"
NC,2020-12-22,"16,545",77.01,"21,484","3,130",14.65,"2,064",82.76,"2,494"
NE,2020-12-22,"3,226",66.96,"4,818",592,12.49,385,67.78,568
NH,2020-12-22,"1,933",69.78,"2,770",305,11.01,172,61.17,282
NM,2020-12-22,"2,813",73.58,"3,823",745,19.49,426,95.52,446
OH,2020-12-22,"20,274",71.09,"28,521","5,094",17.9,"3,142",76.56,"4,104"
OR,2020-12-22,"4,726",71.92,"6,571",610,9.28,508,66.04,770
RI,2020-12-22,"2,118",89.67,"2,362",479,20.28,145,90.06,161
SD,2020-12-22,"1,399",59.38,"2,356",322,13.67,156,65.55,238
TX,2020-12-22,"48,245",75.39,"63,996","10,998",17.23,"6,596",89.41,"7,377"
VT,2020-12-22,733,62.38,"1,175",43,3.66,72,69.23,104
WA,2020-12-22,"8,542",68.64,"12,445","1,134",9.11,959,69.37,"1,382"
WI,2020-12-22,"8,079",64.55,"12,516","1,432",11.69,984,61.55,"1,598"
WV,2020-12-22,"3,740",74.28,"5,035",762,15.13,494,81.25,608
WY,2020-12-22,599,42.12,"1,422",154,10.95,65,51.18,127
CW,2020-12-23,"518,249",73.12,"708,791","123,030",17.44,"67,224",78.0,"86,184"
CT,2020-12-23,"6,093",78.25,"7,787","1,405",18.04,665,62.03,"1,072"
DC,2020-12-23,"2,407",82.83,"2,906",308,10.6,281,82.89,339
ID,2020-12-23,"1,753",56.37,"3,110",374,12.03,204,69.15,295
IN,2020-12-23,"10,898",66.34,"16,428","2,983",18.16,"1,647",77.58,"2,123"
KS,2020-12-23,"4,614",59.05,"7,814","1,046",13.39,633,79.03,801
LA,2020-12-23,"8,840",69.45,"12,729","1,435",11.48,"1,380",75.49,"1,828"
MD,2020-12-23,"7,943",83.04,"9,565","2,099",21.94,"1,041",81.33,"1,280"
AK,2020-12-23,854,59.39,"1,438",93,6.47,91,72.22,126
AL,2020-12-23,"10,454",74.17,"14,096","2,601",18.45,"1,314",90.19,"1,457"
AR,2020-12-23,"5,400",70.88,"7,619","1,110",14.57,765,74.2,"1,031"
AZ,2020-12-23,"11,063",78.54,"14,085","4,254",30.25,"1,616",75.46,"2,142"
CA,2020-12-23,"50,255",79.41,"63,284","19,564",30.91,"6,844",86.22,"7,938"
CO,2020-12-23,"6,728",65.98,"10,196","1,376",13.5,973,64.82,"1,501"
DE,2020-12-23,"1,748",68.36,"2,557",497,19.44,163,84.9,192
FL,2020-12-23,"40,609",78.41,"51,793","6,197",12.19,"5,158",81.56,"6,324"
GA,2020-12-23,"15,776",82.58,"19,104","4,144",21.69,"2,365",88.54,"2,671"
HI,2020-12-23,"1,616",65.1,"2,483",90,3.62,137,62.56,219
IA,2020-12-23,"4,746",61.4,"7,730",628,8.23,484,70.3,689
IL,2020-12-23,"20,124",69.14,"29,107","4,529",15.56,"2,430",68.94,"3,525"
KY,2020-12-23,"7,164",59.44,"12,052","1,716",14.24,"1,152",69.96,"1,646"
MA,2020-12-23,"11,591",77.69,"14,920","1,870",12.53,"1,083",75.84,"1,428"
ME,2020-12-23,"1,893",67.01,"2,825",241,8.53,223,70.57,316
MI,2020-12-23,"15,014",73.52,"20,422","3,066",15.01,"2,110",79.89,"2,641"
MN,2020-12-23,"6,991",72.23,"9,679","1,187",12.26,710,74.19,957
MS,2020-12-23,"5,168",64.75,"7,982","1,381",17.3,724,83.84,864
MT,2020-12-23,"1,766",62.65,"2,818",249,8.84,153,68.0,225
ND,2020-12-23,"1,418",67.82,"2,090",253,12.11,129,60.85,212
NJ,2020-12-23,"14,925",75.37,"19,802","3,930",19.85,"1,679",67.76,"2,478"
NV,2020-12-23,"5,987",80.65,"7,423","1,906",26.26,827,89.31,926
NY,2020-12-23,"34,486",68.26,"50,519","7,726",15.29,"3,569",61.83,"5,773"
OK,2020-12-23,"6,896",71.45,"9,652","1,892",19.92,948,88.93,"1,066"
PA,2020-12-23,"24,778",77.17,"32,110","6,835",21.52,"3,285",82.31,"3,991"
SC,2020-12-23,"7,850",81.41,"9,643","1,653",17.14,"1,037",81.78,"1,268"
TN,2020-12-23,"11,999",72.96,"16,446","3,005",18.85,"1,828",86.55,"2,112"
UT,2020-12-23,"3,038",58.22,"5,218",588,11.28,426,68.16,625
VA,2020-12-23,"11,696",71.26,"16,414","2,392",14.57,"1,459",73.34,"1,989"
MO,2020-12-23,"11,350",74.3,"15,275","2,722",17.82,"1,536",83.92,"1,831"
NC,2020-12-23,"16,401",76.09,"21,555","3,119",14.56,"2,072",83.01,"2,496"
NE,2020-12-23,"3,177",66.22,"4,798",587,12.44,391,68.72,569
NH,2020-12-23,"1,969",70.95,"2,775",315,11.35,183,64.66,283
NM,2020-12-23,"2,820",73.48,"3,838",736,19.18,416,94.12,442
OH,2020-12-23,"20,001",70.02,"28,564","4,945",17.35,"3,112",75.19,"4,138"
OR,2020-12-23,"4,717",70.93,"6,650",589,8.86,510,65.72,776
RI,2020-12-23,"2,011",88.67,"2,268",462,20.37,149,92.55,161
SD,2020-12-23,"1,364",58.04,"2,350",303,12.89,156,65.55,238
TX,2020-12-23,"48,216",75.16,"64,154","11,164",17.44,"6,570",89.39,"7,350"
VT,2020-12-23,729,62.04,"1,175",35,2.98,69,66.35,104
WA,2020-12-23,"8,572",68.31,"12,548","1,184",9.44,968,69.8,"1,387"
WI,2020-12-23,"7,927",63.24,"12,534","1,334",10.88,996,62.07,"1,605"
WV,2020-12-23,"3,751",74.44,"5,039",753,14.94,495,81.41,608
WY,2020-12-23,663,46.62,"1,422",158,11.2,67,52.76,127
CW,2020-12-24,"492,611",70.18,"701,916","121,009",17.32,"65,884",76.71,"85,886"
CT,2020-12-24,"5,860",75.18,"7,795","1,344",17.24,665,61.98,"1,073"
DC,2020-12-24,"2,249",78.91,"2,850",298,10.46,267,81.65,327
ID,2020-12-24,"1,565",51.06,"3,065",334,10.9,193,65.42,295
IN,2020-12-24,"10,385",63.28,"16,411","2,897",17.65,"1,632",76.76,"2,126"
KS,2020-12-24,"4,262",54.69,"7,794","1,003",12.87,629,78.43,802
LA,2020-12-24,"8,255",65.38,"12,627","1,385",11.17,"1,314",73.04,"1,799"
MD,2020-12-24,"7,609",80.31,"9,475","1,992",21.02,"1,019",79.61,"1,280"
AK,2020-12-24,813,56.77,"1,432",92,6.42,78,62.9,124
AL,2020-12-24,"9,942",70.8,"14,042","2,594",18.47,"1,282",88.9,"1,442"
AR,2020-12-24,"4,937",66.4,"7,435","1,120",15.07,757,75.4,"1,004"
AZ,2020-12-24,"10,644",76.0,"14,006","4,208",30.09,"1,613",76.45,"2,110"
CA,2020-12-24,"49,332",77.72,"63,476","19,656",30.97,"6,856",85.66,"8,004"
CO,2020-12-24,"6,349",62.31,"10,189","1,307",12.83,907,60.27,"1,505"
DE,2020-12-24,"1,678",66.4,"2,527",483,19.11,152,80.0,190
FL,2020-12-24,"38,927",75.52,"51,544","6,105",12.06,"5,039",80.11,"6,290"
GA,2020-12-24,"15,355",80.92,"18,975","4,208",22.18,"2,356",88.6,"2,659"
HI,2020-12-24,"1,640",66.4,"2,470",95,3.85,126,57.8,218
IA,2020-12-24,"4,428",57.25,"7,734",614,8.05,467,67.88,688
IL,2020-12-24,"19,039",65.4,"29,110","4,316",14.83,"2,328",65.99,"3,528"
KY,2020-12-24,"6,810",55.49,"12,271","1,625",13.24,"1,114",63.33,"1,759"
MA,2020-12-24,"11,209",75.66,"14,815","1,877",12.67,"1,072",74.7,"1,435"
ME,2020-12-24,"1,812",64.3,"2,818",230,8.18,213,66.98,318
MI,2020-12-24,"14,317",70.21,"20,392","2,872",14.08,"2,028",77.23,"2,626"
MN,2020-12-24,"6,725",70.53,"9,535","1,139",11.95,706,74.08,953
MS,2020-12-24,"4,748",60.05,"7,907","1,350",17.07,715,82.66,865
MT,2020-12-24,"1,654",58.67,"2,819",222,7.86,152,67.11,226
ND,2020-12-24,"1,370",67.38,"2,034",235,11.55,121,58.45,207
NJ,2020-12-24,"14,154",72.4,"19,550","3,787",19.37,"1,636",66.53,"2,459"
NV,2020-12-24,"5,756",77.74,"7,404","1,835",25.34,799,86.94,919
NY,2020-12-24,"33,274",66.09,"50,345","7,713",15.32,"3,512",61.12,"5,746"
OK,2020-12-24,"6,644",69.21,"9,600","1,878",19.89,938,88.83,"1,056"
PA,2020-12-24,"23,740",74.3,"31,952","6,564",20.77,"3,154",80.3,"3,927"
SC,2020-12-24,"7,307",76.11,"9,601","1,675",17.45,996,79.24,"1,257"
TN,2020-12-24,"11,316",69.36,"16,314","2,968",18.77,"1,800",84.33,"2,134"
UT,2020-12-24,"2,835",54.34,"5,217",551,10.56,418,66.88,625
VA,2020-12-24,"11,131",67.91,"16,392","2,368",14.44,"1,410",71.3,"1,978"
MO,2020-12-24,"10,813",71.98,"15,022","2,639",17.57,"1,503",83.92,"1,791"
NC,2020-12-24,"15,657",73.26,"21,371","3,095",14.57,"2,023",81.77,"2,474"
NE,2020-12-24,"2,980",62.47,"4,771",548,11.68,365,65.77,555
NH,2020-12-24,"1,838",66.31,"2,772",298,10.75,181,63.73,284
NM,2020-12-24,"2,662",70.05,"3,800",719,18.92,406,98.31,413
OH,2020-12-24,"18,985",66.73,"28,452","4,794",16.88,"3,067",74.37,"4,124"
OR,2020-12-24,"4,531",69.36,"6,533",580,8.87,486,64.37,755
RI,2020-12-24,"2,011",88.67,"2,268",462,20.37,149,92.55,161
SD,2020-12-24,"1,311",55.86,"2,347",280,11.93,140,59.57,235
TX,2020-12-24,"43,412",71.76,"60,493","11,261",18.67,"6,584",89.49,"7,357"
VT,2020-12-24,662,56.34,"1,175",24,2.04,64,60.95,105
WA,2020-12-24,"8,124",67.32,"12,068","1,258",10.42,991,74.62,"1,328"
WI,2020-12-24,"7,366",58.97,"12,492","1,236",10.11,918,56.81,"1,615"
WV,2020-12-24,"3,585",71.6,"5,007",726,14.5,482,79.28,608
WY,2020-12-24,603,42.41,"1,422",149,10.56,62,48.82,127
CW,2020-12-25,"452,149",65.05,"695,092","117,223",16.94,"63,914",74.66,"85,608"
CT,2020-12-25,"5,308",68.38,"7,762","1,302",16.77,636,59.27,"1,073"
DC,2020-12-25,"2,065",74.71,"2,764",289,10.46,240,75.24,319
ID,2020-12-25,"1,457",47.75,"3,051",333,10.91,196,66.44,295
IN,2020-12-25,"9,166",56.74,"16,155","2,714",16.8,"1,544",72.91,"2,117"
KS,2020-12-25,"3,849",49.54,"7,770",900,11.59,603,74.81,806
LA,2020-12-25,"7,567",60.29,"12,552","1,343",10.9,"1,293",71.63,"1,805"
MD,2020-12-25,"7,063",75.8,"9,318","1,927",20.68,999,79.54,"1,256"
AK,2020-12-25,733,51.19,"1,432",68,4.75,79,62.2,127
AL,2020-12-25,"9,243",66.09,"13,985","2,552",18.25,"1,250",86.65,"1,443"
AR,2020-12-25,"4,358",60.02,"7,261","1,038",14.3,756,75.68,999
AZ,2020-12-25,"9,944",72.34,"13,746","4,130",30.09,"1,577",75.04,"2,102"
CA,2020-12-25,"47,476",76.36,"62,172","19,512",31.38,"6,874",85.94,"7,999"
CO,2020-12-25,"5,629",55.37,"10,167","1,233",12.13,843,57.62,"1,463"
DE,2020-12-25,"1,529",60.87,"2,512",464,18.47,149,78.42,190
FL,2020-12-25,"35,377",69.19,"51,129","5,936",11.83,"4,855",77.51,"6,264"
GA,2020-12-25,"14,227",75.48,"18,848","4,201",22.29,"2,302",86.9,"2,649"
HI,2020-12-25,"1,598",64.78,"2,467",100,4.05,121,55.25,219
IA,2020-12-25,"3,908",50.44,"7,747",572,7.48,448,65.69,682
IL,2020-12-25,"17,188",59.07,"29,095","4,047",13.91,"2,262",64.39,"3,513"
KY,2020-12-25,"6,374",51.85,"12,293","1,524",12.4,"1,094",62.27,"1,757"
MA,2020-12-25,"10,406",70.9,"14,677","1,868",12.73,"1,064",73.84,"1,441"
ME,2020-12-25,"1,663",59.44,"2,798",228,8.15,205,64.06,320
MI,2020-12-25,"12,462",62.84,"19,831","2,728",13.76,"1,902",73.13,"2,601"
MN,2020-12-25,"5,942",63.82,"9,311","1,031",11.07,676,71.46,946
MS,2020-12-25,"4,409",55.98,"7,877","1,280",16.25,707,82.88,853
MT,2020-12-25,"1,502",53.16,"2,825",201,7.11,144,63.3,228
ND,2020-12-25,"1,207",60.81,"1,985",233,11.74,119,58.91,202
NJ,2020-12-25,"12,833",66.03,"19,436","3,578",18.41,"1,596",64.69,"2,468"
NV,2020-12-25,"5,400",72.97,"7,400","1,773",24.47,781,84.62,923
NY,2020-12-25,"30,394",60.55,"50,194","7,665",15.27,"3,366",58.44,"5,759"
OK,2020-12-25,"5,939",62.37,"9,521","1,826",19.49,905,85.38,"1,060"
PA,2020-12-25,"21,934",69.23,"31,682","6,255",19.96,"3,050",78.1,"3,905"
SC,2020-12-25,"6,805",71.2,"9,558","1,635",17.11,960,76.25,"1,259"
TN,2020-12-25,"10,398",63.91,"16,270","2,863",18.16,"1,753",82.42,"2,127"
UT,2020-12-25,"2,358",45.2,"5,217",502,9.62,398,63.68,625
VA,2020-12-25,"10,190",62.1,"16,410","2,345",14.29,"1,378",69.74,"1,976"
MO,2020-12-25,"9,621",65.08,"14,783","2,500",16.91,"1,424",80.4,"1,770"
NC,2020-12-25,"14,901",69.77,"21,357","3,098",14.59,"1,995",80.67,"2,474"
NE,2020-12-25,"2,687",56.68,"4,741",508,10.9,343,62.36,550
NH,2020-12-25,"1,659",59.89,"2,770",286,10.32,167,59.22,282
NM,2020-12-25,"2,485",65.49,"3,794",690,18.2,408,98.43,414
OH,2020-12-25,"17,401",61.15,"28,458","4,600",16.2,"2,909",70.17,"4,146"
OR,2020-12-25,"4,148",63.94,"6,487",542,8.36,467,61.13,764
RI,2020-12-25,"1,870",83.82,"2,231",444,19.9,144,90.57,159
SD,2020-12-25,"1,211",51.82,"2,337",252,10.78,132,55.93,236
TX,2020-12-25,"39,567",67.55,"58,572","11,025",18.88,"6,393",88.45,"7,228"
VT,2020-12-25,583,49.7,"1,173",23,1.96,62,59.05,105
WA,2020-12-25,"7,735",62.72,"12,333","1,074",8.71,908,66.62,"1,363"
WI,2020-12-25,"6,612",53.04,"12,467","1,148",9.41,890,55.21,"1,612"
WV,2020-12-25,"3,284",66.36,"4,949",714,14.43,496,81.58,608
WY,2020-12-25,484,34.04,"1,422",124,8.75,52,40.94,127
CW,2020-12-26,"452,443",65.06,"695,386","119,391",17.25,"63,820",74.54,"85,621"
CT,2020-12-26,"5,351",68.86,"7,771","1,343",17.28,638,59.35,"1,075"
DC,2020-12-26,"2,035",72.97,"2,789",282,10.11,230,70.99,324
ID,2020-12-26,"1,473",48.39,"3,044",339,11.14,192,65.08,295
IN,2020-12-26,"9,388",57.23,"16,404","2,798",17.06,"1,535",72.1,"2,129"
KS,2020-12-26,"3,914",50.48,"7,754",911,11.75,608,75.68,804
LA,2020-12-26,"7,565",60.31,"12,542","1,349",10.96,"1,279",70.78,"1,807"
MD,2020-12-26,"7,043",76.53,"9,203","1,948",21.17,985,80.02,"1,231"
AK,2020-12-26,703,49.13,"1,431",71,4.96,74,58.27,127
AL,2020-12-26,"9,329",66.87,"13,950","2,620",18.78,"1,246",87.11,"1,430"
AR,2020-12-26,"4,424",60.94,"7,260","1,066",14.68,763,76.22,"1,001"
AZ,2020-12-26,"10,010",72.7,"13,769","4,176",30.38,"1,565",74.35,"2,105"
CA,2020-12-26,"47,582",75.51,"63,015","19,931",31.63,"6,922",84.51,"8,190"
CO,2020-12-26,"5,553",54.66,"10,159","1,190",11.71,849,62.8,"1,352"
DE,2020-12-26,"1,566",62.51,"2,505",465,18.56,145,76.32,190
FL,2020-12-26,"35,445",69.28,"51,164","6,148",12.24,"4,861",77.65,"6,260"
GA,2020-12-26,"14,272",75.88,"18,809","4,296",22.84,"2,306",87.36,"2,639"
HI,2020-12-26,"1,594",64.72,"2,463",94,3.84,123,56.68,217
IA,2020-12-26,"3,946",50.9,"7,753",556,7.28,500,72.99,685
IL,2020-12-26,"17,114",58.82,"29,095","4,056",13.94,"2,238",63.78,"3,509"
KY,2020-12-26,"6,242",50.73,"12,303","1,528",12.42,"1,088",61.88,"1,759"
MA,2020-12-26,"10,463",71.11,"14,714","1,918",13.04,"1,050",72.77,"1,443"
ME,2020-12-26,"1,731",61.38,"2,820",232,8.21,216,68.14,317
MI,2020-12-26,"12,451",62.83,"19,817","2,736",13.81,"1,900",73.39,"2,589"
MN,2020-12-26,"5,883",63.46,"9,271","1,060",11.44,671,71.76,935
MS,2020-12-26,"4,491",57.23,"7,847","1,275",16.25,711,82.67,860
MT,2020-12-26,"1,540",54.07,"2,848",210,7.37,136,59.87,228
ND,2020-12-26,"1,229",60.89,"2,019",221,10.95,110,55.28,199
NJ,2020-12-26,"12,893",66.15,"19,490","3,666",18.81,"1,595",64.97,"2,455"
NV,2020-12-26,"5,411",73.12,"7,400","1,791",24.71,776,84.16,922
NY,2020-12-26,"30,714",61.09,"50,276","7,959",15.83,"3,395",58.94,"5,760"
OK,2020-12-26,"5,992",63.02,"9,507","1,871",20.01,912,85.63,"1,065"
PA,2020-12-26,"22,123",70.13,"31,544","6,348",20.35,"3,016",77.19,"3,908"
SC,2020-12-26,"6,901",72.35,"9,538","1,776",18.62,973,77.47,"1,256"
TN,2020-12-26,"10,572",64.87,"16,296","2,920",18.48,"1,740",81.55,"2,133"
UT,2020-12-26,"2,338",44.81,"5,217",519,9.95,398,63.68,625
VA,2020-12-26,"10,282",62.65,"16,412","2,414",14.71,"1,372",69.33,"1,979"
MO,2020-12-26,"9,423",64.43,"14,625","2,491",17.03,"1,430",79.89,"1,790"
NC,2020-12-26,"14,898",70.06,"21,264","3,154",14.92,"1,996",80.86,"2,469"
NE,2020-12-26,"2,727",58.0,"4,702",508,10.99,339,61.64,550
NH,2020-12-26,"1,642",59.28,"2,770",290,10.47,162,57.27,282
NM,2020-12-26,"2,382",62.97,"3,782",702,18.56,399,98.28,406
OH,2020-12-26,"16,950",60.1,"28,200","4,570",16.24,"2,845",69.19,"4,112"
OR,2020-12-26,"4,112",63.58,"6,467",554,8.57,465,60.78,765
RI,2020-12-26,"1,933",86.68,"2,230",453,20.31,138,90.79,152
SD,2020-12-26,"1,186",50.68,"2,341",268,11.45,137,58.3,235
TX,2020-12-26,"39,044",66.76,"58,483","11,163",19.14,"6,382",87.98,"7,254"
VT,2020-12-26,587,50.13,"1,171",20,1.71,56,53.85,104
WA,2020-12-26,"7,613",62.08,"12,264","1,128",9.2,921,67.97,"1,355"
WI,2020-12-26,"6,614",52.98,"12,483","1,169",9.57,885,54.93,"1,611"
WV,2020-12-26,"3,294",66.1,"4,983",717,14.39,498,82.18,606
WY,2020-12-26,477,33.54,"1,422",120,8.5,49,38.58,127
CW,2020-12-27,"470,522",67.49,"697,128","123,976",17.87,"64,746",75.42,"85,843"
CT,2020-12-27,"5,505",70.89,"7,766","1,385",17.83,650,60.47,"1,075"
DC,2020-12-27,"2,080",74.9,"2,777",279,10.05,242,76.34,317
ID,2020-12-27,"1,549",51.05,"3,034",357,11.77,192,65.08,295
IN,2020-12-27,"9,830",60.16,"16,340","2,872",17.58,"1,573",73.85,"2,130"
KS,2020-12-27,"4,100",53.07,"7,724",966,12.51,603,75.28,801
LA,2020-12-27,"7,623",60.76,"12,546","1,340",10.94,"1,282",70.67,"1,814"
MD,2020-12-27,"7,276",77.57,"9,380","2,034",21.68,"1,002",79.27,"1,264"
AK,2020-12-27,733,51.29,"1,429",80,5.6,78,62.4,125
AL,2020-12-27,"9,786",70.04,"13,972","2,738",19.6,"1,300",90.87,"1,430"
AR,2020-12-27,"4,739",64.84,"7,309","1,111",15.2,756,75.15,"1,006"
AZ,2020-12-27,"10,338",75.01,"13,783","4,374",31.78,"1,601",75.95,"2,108"
CA,2020-12-27,"48,738",76.82,"63,445","20,523",32.35,"7,086",85.54,"8,284"
CO,2020-12-27,"5,825",57.14,"10,194","1,214",11.91,854,63.31,"1,349"
DE,2020-12-27,"1,632",65.46,"2,493",496,19.9,153,80.53,190
FL,2020-12-27,"37,026",72.38,"51,157","6,335",12.61,"4,880",77.99,"6,257"
GA,2020-12-27,"14,797",78.44,"18,865","4,508",23.89,"2,372",89.51,"2,650"
HI,2020-12-27,"1,619",65.52,"2,471",108,4.37,119,55.35,215
IA,2020-12-27,"4,168",53.86,"7,738",589,7.72,468,67.73,691
IL,2020-12-27,"17,808",61.21,"29,094","4,224",14.52,"2,218",63.02,"3,519"
KY,2020-12-27,"6,589",53.55,"12,304","1,574",12.79,"1,122",63.85,"1,758"
MA,2020-12-27,"10,738",72.93,"14,724","2,000",13.58,"1,074",74.33,"1,445"
ME,2020-12-27,"1,781",63.52,"2,804",241,8.59,216,68.41,315
MI,2020-12-27,"13,098",65.84,"19,893","2,814",14.15,"1,917",73.76,"2,599"
MN,2020-12-27,"6,125",65.36,"9,370","1,086",11.58,681,73.23,930
MS,2020-12-27,"4,677",59.53,"7,856","1,335",16.99,709,82.06,864
MT,2020-12-27,"1,590",56.34,"2,823",222,7.86,138,59.48,232
ND,2020-12-27,"1,310",65.12,"2,012",225,11.18,109,54.5,200
NJ,2020-12-27,"13,495",69.35,"19,459","3,797",19.51,"1,591",66.49,"2,393"
NV,2020-12-27,"5,604",75.63,"7,410","1,869",25.77,785,84.23,932
NY,2020-12-27,"32,052",63.71,"50,308","8,402",16.7,"3,491",60.42,"5,778"
OK,2020-12-27,"6,190",65.27,"9,483","1,914",20.52,907,85.49,"1,061"
PA,2020-12-27,"22,771",72.15,"31,558","6,584",21.1,"3,046",77.74,"3,918"
SC,2020-12-27,"7,190",75.22,"9,559","1,897",19.85,995,79.16,"1,257"
TN,2020-12-27,"11,375",69.61,"16,342","3,078",19.42,"1,742",81.14,"2,147"
UT,2020-12-27,"2,442",46.82,"5,217",541,10.37,385,61.6,625
VA,2020-12-27,"10,571",64.3,"16,441","2,418",14.71,"1,383",69.85,"1,980"
MO,2020-12-27,"9,883",67.53,"14,634","2,551",17.43,"1,462",81.52,"1,794"
NC,2020-12-27,"15,350",72.12,"21,284","3,238",15.3,"2,003",81.21,"2,466"
NE,2020-12-27,"2,867",60.36,"4,750",559,11.97,368,65.98,557
NH,2020-12-27,"1,711",61.77,"2,770",288,10.4,166,58.87,282
NM,2020-12-27,"2,519",66.53,"3,786",741,19.57,406,98.31,413
OH,2020-12-27,"17,832",62.86,"28,366","4,680",16.53,"2,966",71.71,"4,137"
OR,2020-12-27,"4,258",66.03,"6,449",564,8.75,486,64.87,750
